bab,nomor_tabel,judul_tabel,wilayah,indikator,satuan,nilai_num,nilai_teks,flag,sumber
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Cipatujah,Luas Daerah,km2,241.99,"241,99",ada,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Cipatujah,Jumlah Pulau,pulau,,-,nihil,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Karangnunggal,Luas Daerah,km2,153.26,"153,26",ada,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Karangnunggal,Jumlah Pulau,pulau,,-,nihil,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Cikalong,Luas Daerah,km2,160.88,"160,88",ada,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Cikalong,Jumlah Pulau,pulau,,-,nihil,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Pancatengah,Luas Daerah,km2,162.11,"162,11",ada,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Pancatengah,Jumlah Pulau,pulau,,-,nihil,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Cikatomas,Luas Daerah,km2,142.21,"142,21",ada,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Cikatomas,Jumlah Pulau,pulau,,-,nihil,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Cibalong,Luas Daerah,km2,61.74,"61,74",ada,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Cibalong,Jumlah Pulau,pulau,,-,nihil,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Parungponteng,Luas Daerah,km2,50.5,"50,50",ada,"Data Hasil Podes 2021, diolah"
Geografi,1.1.1,"Luas Daerah dan Jumlah Pulau Menurut Kecamatan, 2025",Parungponteng,Jumlah Pulau,pulau,,-,nihil,"Data Hasil Podes 2021, diolah"
